Group,Subgroup,Selected Date,Day/Date/Time,Energy,Location
,,,,,Gurugram
Rooms,,2019-07-22,00:30:00,1349,
Rooms,,2019-07-22,01:30:00,1242,
Rooms,,2019-07-22,02:30:00,957,
Rooms,,2019-07-22,03:30:00,1086,
Rooms,,2019-07-22,04:30:00,905,
Rooms,,2019-07-22,05:30:00,1150,
Rooms,,2019-07-22,06:30:00,682,
Rooms,,2019-07-22,07:30:00,716,
Rooms,,2019-07-22,08:30:00,591,
Rooms,,2019-07-22,09:30:00,755,
Rooms,,2019-07-22,10:30:00,684,
Rooms,,2019-07-22,11:30:00,798,
Rooms,,2019-07-22,12:30:00,971,
Rooms,,2019-07-22,13:30:00,1238,
Rooms,,2019-07-22,14:30:00,1519,
Rooms,,2019-07-22,15:30:00,2019,
Rooms,,2019-07-22,16:30:00,1754,
Rooms,,2019-07-22,17:30:00,1667,
Banquet,,2019-07-22,00:30:00,411,
Banquet,,2019-07-22,01:30:00,415,
Banquet,,2019-07-22,02:30:00,416,
Banquet,,2019-07-22,03:30:00,417,
Banquet,,2019-07-22,04:30:00,419,
Banquet,,2019-07-22,05:30:00,416,
Banquet,,2019-07-22,06:30:00,432,
Banquet,,2019-07-22,07:30:00,402,
Banquet,,2019-07-22,08:30:00,402,
Banquet,,2019-07-22,09:30:00,399,
Banquet,,2019-07-22,10:30:00,402,
Banquet,,2019-07-22,11:30:00,363,
Banquet,,2019-07-22,12:30:00,377,
Banquet,,2019-07-22,13:30:00,362,
Banquet,,2019-07-22,14:30:00,371,
Banquet,,2019-07-22,15:30:00,368,
Banquet,,2019-07-22,16:30:00,381,
Banquet,,2019-07-22,17:30:00,338,
Dinning area,,2019-07-22,00:30:00,0,
Dinning area,,2019-07-22,01:30:00,0,
Dinning area,,2019-07-22,02:30:00,0,
Dinning area,,2019-07-22,03:30:00,0,
Dinning area,,2019-07-22,04:30:00,0,
Dinning area,,2019-07-22,05:30:00,0,
Dinning area,,2019-07-22,06:30:00,0,
Dinning area,,2019-07-22,07:30:00,0,
Dinning area,,2019-07-22,08:30:00,0,
Dinning area,,2019-07-22,09:30:00,0,
Dinning area,,2019-07-22,10:30:00,0,
Dinning area,,2019-07-22,11:30:00,0,
Dinning area,,2019-07-22,12:30:00,0,
Dinning area,,2019-07-22,13:30:00,0,
Dinning area,,2019-07-22,14:30:00,0,
Dinning area,,2019-07-22,15:30:00,0,
Dinning area,,2019-07-22,16:30:00,0,
Dinning area,,2019-07-22,17:30:00,0,
Reception,,2019-07-22,00:30:00,320,
Reception,,2019-07-22,01:30:00,277,
Reception,,2019-07-22,02:30:00,242,
Reception,,2019-07-22,03:30:00,236,
Reception,,2019-07-22,04:30:00,173,
Reception,,2019-07-22,05:30:00,164,
Reception,,2019-07-22,06:30:00,128,
Reception,,2019-07-22,07:30:00,81,
Reception,,2019-07-22,08:30:00,73,
Reception,,2019-07-22,09:30:00,98,
Reception,,2019-07-22,10:30:00,74,
Reception,,2019-07-22,11:30:00,158,
Reception,,2019-07-22,12:30:00,142,
Reception,,2019-07-22,13:30:00,150,
Reception,,2019-07-22,14:30:00,246,
Reception,,2019-07-22,15:30:00,236,
Reception,,2019-07-22,16:30:00,197,
Reception,,2019-07-22,17:30:00,186,
Lobby-Corridors,,2019-07-22,00:30:00,134,
Lobby-Corridors,,2019-07-22,01:30:00,138,
Lobby-Corridors,,2019-07-22,02:30:00,133,
Lobby-Corridors,,2019-07-22,03:30:00,137,
Lobby-Corridors,,2019-07-22,04:30:00,88,
Lobby-Corridors,,2019-07-22,05:30:00,133,
Lobby-Corridors,,2019-07-22,06:30:00,132,
Lobby-Corridors,,2019-07-22,07:30:00,130,
Lobby-Corridors,,2019-07-22,08:30:00,134,
Lobby-Corridors,,2019-07-22,09:30:00,134,
Lobby-Corridors,,2019-07-22,10:30:00,132,
Lobby-Corridors,,2019-07-22,11:30:00,106,
Lobby-Corridors,,2019-07-22,12:30:00,63,
Lobby-Corridors,,2019-07-22,13:30:00,64,
Lobby-Corridors,,2019-07-22,14:30:00,65,
Lobby-Corridors,,2019-07-22,15:30:00,65,
Lobby-Corridors,,2019-07-22,16:30:00,65,
Lobby-Corridors,,2019-07-22,17:30:00,65,
Server Room,,2019-07-22,00:30:00,-1,
Server Room,,2019-07-22,01:30:00,0,
Server Room,,2019-07-22,02:30:00,0,
Server Room,,2019-07-22,03:30:00,0,
Server Room,,2019-07-22,04:30:00,0,
Server Room,,2019-07-22,05:30:00,0,
Server Room,,2019-07-22,06:30:00,0,
Server Room,,2019-07-22,07:30:00,0,
Server Room,,2019-07-22,08:30:00,0,
Server Room,,2019-07-22,09:30:00,0,
Server Room,,2019-07-22,10:30:00,0,
Server Room,,2019-07-22,11:30:00,0,
Server Room,,2019-07-22,12:30:00,0,
Server Room,,2019-07-22,13:30:00,0,
Server Room,,2019-07-22,14:30:00,212,
Server Room,,2019-07-22,15:30:00,204,
Server Room,,2019-07-22,16:30:00,0,
Server Room,,2019-07-22,17:30:00,0,
Lifts,,2019-07-22,00:30:00,0,
Lifts,,2019-07-22,01:30:00,0,
Lifts,,2019-07-22,02:30:00,0,
Lifts,,2019-07-22,03:30:00,0,
Lifts,,2019-07-22,04:30:00,0,
Lifts,,2019-07-22,05:30:00,0,
Lifts,,2019-07-22,06:30:00,0,
Lifts,,2019-07-22,07:30:00,0,
Lifts,,2019-07-22,08:30:00,0,
Lifts,,2019-07-22,09:30:00,0,
Lifts,,2019-07-22,10:30:00,0,
Lifts,,2019-07-22,11:30:00,0,
Lifts,,2019-07-22,12:30:00,0,
Lifts,,2019-07-22,13:30:00,0,
Lifts,,2019-07-22,14:30:00,0,
Lifts,,2019-07-22,15:30:00,0,
Lifts,,2019-07-22,16:30:00,0,
Lifts,,2019-07-22,17:30:00,0,
Kitchen,,2019-07-22,00:30:00,458,
Kitchen,,2019-07-22,01:30:00,480,
Kitchen,,2019-07-22,02:30:00,535,
Kitchen,,2019-07-22,03:30:00,642,
Kitchen,,2019-07-22,04:30:00,496,
Kitchen,,2019-07-22,05:30:00,439,
Kitchen,,2019-07-22,06:30:00,492,
Kitchen,,2019-07-22,07:30:00,464,
Kitchen,,2019-07-22,08:30:00,464,
Kitchen,,2019-07-22,09:30:00,494,
Kitchen,,2019-07-22,10:30:00,472,
Kitchen,,2019-07-22,11:30:00,571,
Kitchen,,2019-07-22,12:30:00,474,
Kitchen,,2019-07-22,13:30:00,436,
Kitchen,,2019-07-22,14:30:00,472,
Kitchen,,2019-07-22,15:30:00,599,
Kitchen,,2019-07-22,16:30:00,540,
Kitchen,,2019-07-22,17:30:00,644,
Water Pumps,,2019-07-22,00:30:00,49,
Water Pumps,,2019-07-22,01:30:00,50,
Water Pumps,,2019-07-22,02:30:00,50,
Water Pumps,,2019-07-22,03:30:00,51,
Water Pumps,,2019-07-22,04:30:00,50,
Water Pumps,,2019-07-22,05:30:00,94,
Water Pumps,,2019-07-22,06:30:00,57,
Water Pumps,,2019-07-22,07:30:00,50,
Water Pumps,,2019-07-22,08:30:00,50,
Water Pumps,,2019-07-22,09:30:00,52,
Water Pumps,,2019-07-22,10:30:00,50,
Water Pumps,,2019-07-22,11:30:00,64,
Water Pumps,,2019-07-22,12:30:00,51,
Water Pumps,,2019-07-22,13:30:00,46,
Water Pumps,,2019-07-22,14:30:00,41,
Water Pumps,,2019-07-22,15:30:00,65,
Water Pumps,,2019-07-22,16:30:00,57,
Water Pumps,,2019-07-22,17:30:00,51,
Boilers,,2019-07-22,00:30:00,0,
Boilers,,2019-07-22,01:30:00,0,
Boilers,,2019-07-22,02:30:00,0,
Boilers,,2019-07-22,03:30:00,0,
Boilers,,2019-07-22,04:30:00,0,
Boilers,,2019-07-22,05:30:00,0,
Boilers,,2019-07-22,06:30:00,0,
Boilers,,2019-07-22,07:30:00,0,
Boilers,,2019-07-22,08:30:00,0,
Boilers,,2019-07-22,09:30:00,0,
Boilers,,2019-07-22,10:30:00,0,
Boilers,,2019-07-22,11:30:00,0,
Boilers,,2019-07-22,12:30:00,0,
Boilers,,2019-07-22,13:30:00,0,
Boilers,,2019-07-22,14:30:00,0,
Boilers,,2019-07-22,15:30:00,0,
Boilers,,2019-07-22,16:30:00,0,
Boilers,,2019-07-22,17:30:00,0,
External Lights,,2019-07-22,00:30:00,20,
External Lights,,2019-07-22,01:30:00,262,
External Lights,,2019-07-22,02:30:00,259,
External Lights,,2019-07-22,03:30:00,253,
External Lights,,2019-07-22,04:30:00,244,
External Lights,,2019-07-22,05:30:00,240,
External Lights,,2019-07-22,06:30:00,247,
External Lights,,2019-07-22,07:30:00,260,
External Lights,,2019-07-22,08:30:00,275,
External Lights,,2019-07-22,09:30:00,279,
External Lights,,2019-07-22,10:30:00,84,
External Lights,,2019-07-22,11:30:00,19,
External Lights,,2019-07-22,12:30:00,20,
External Lights,,2019-07-22,13:30:00,22,
External Lights,,2019-07-22,14:30:00,18,
External Lights,,2019-07-22,15:30:00,17,
External Lights,,2019-07-22,16:30:00,17,
External Lights,,2019-07-22,17:30:00,17,
Laundry-Pantry,,2019-07-22,00:30:00,0,
Laundry-Pantry,,2019-07-22,01:30:00,0,
Laundry-Pantry,,2019-07-22,02:30:00,0,
Laundry-Pantry,,2019-07-22,03:30:00,0,
Laundry-Pantry,,2019-07-22,04:30:00,0,
Laundry-Pantry,,2019-07-22,05:30:00,0,
Laundry-Pantry,,2019-07-22,06:30:00,0,
Laundry-Pantry,,2019-07-22,07:30:00,0,
Laundry-Pantry,,2019-07-22,08:30:00,0,
Laundry-Pantry,,2019-07-22,09:30:00,0,
Laundry-Pantry,,2019-07-22,10:30:00,0,
Laundry-Pantry,,2019-07-22,11:30:00,0,
Laundry-Pantry,,2019-07-22,12:30:00,0,
Laundry-Pantry,,2019-07-22,13:30:00,0,
Laundry-Pantry,,2019-07-22,14:30:00,0,
Laundry-Pantry,,2019-07-22,15:30:00,0,
Laundry-Pantry,,2019-07-22,16:30:00,0,
Laundry-Pantry,,2019-07-22,17:30:00,0,
,,,,,
